product_name,price,metadata,product_id,image_download
Arlo Pantsuit | Beige,94.95,"The Arlo Pantsuit features a soft neutral spot fabrication, elasticated bust and straps and side zip closure.",1575437033,OK
Arlo Playsuit | Beige,84.95,"The Arlo Playsuit features a soft neutral spot fabrication, elasticated waistband, arm inserts and frill detailing a bust.",1571381403,OK
Arlo Wrap Dress | Beige,94.95,"The Arlo Wrap Dress features a soft neutral spot fabrication, fluted sleeves, midi length and wrap tie up closure.",1575436882,OK
Heide Dress | Black,124.95,"The Heide Dress features a straight neckline, puff sleeves with shirring along the arm, back zip closure and mini length.",1576459131,OK
Olivia Dress | White,99.95,"The Olivia Dress features a sweetheart neckline, elasticated shoulder straps and shirring body.",1571381606,OK
Harper Jeans | Denim,79.95,"The most comfortable denim jeans have arrived. The Harper Jeans feature a super stretchy denim fabric, high waist and cropped ankle.",1575497583,OK
Cameron Cami | Black,54.95,The Cameron Cami has arrived. This versatile piece can take you from day to night with the simple change of shoe. Featuring an overlay- this top will suit all body shapes.,1566259204,OK
Cameron Cami | White,54.95,The Cameron Cami has arrived. This versatile piece can take you from day to night with the simple change of shoe. Featuring an overlay- this top will suit all body shapes.,1566259344,OK
Kendra Blazer | White,159.95,"For the woman that's equal parts business and fashion forward! The new Kendra Blazer is giving us all the girl boss vibes! Featuring a structured shape, gold button detailing and a super soft fabrication.",1562730655,OK
Kendra Culottes | White,94.95,"High waisted culottes featuring a side zip, wide leg and soft weighted fabric. Team with the Kendra Blazer for the perfect look.",1562730782,OK
Emmi Knit | Black,69.95,The Emmi Knit is the perfect layering piece. Featuring a two toned weave and scooped neckline. This knit is a Winter wardrobe essential!,1561348992,OK
Emmi Knit | Olive,69.95,The Emmi Knit is the perfect layering piece. Featuring a two toned weave and scooped neckline. This knit is a Winter wardrobe essential!,1561348803,OK
Avery Biker Jacket | Denim,129.95,"Featuring a slouchy biker jacket silhouette, wide collar, epaulettes, accent zip detail and slight acid wash finish.",1585180296,OK
Kendra Blazer | Musk,159.95,,1585193433,OK
Silvi Mom Jeans | Denim,89.95,,1585262778,OK
Kendra Blazer | Black,159.95,,1585193403,OK
Ellie Blazer | Bone,159.95,"This blazer features a structured shape, tortoiseshell button detailing, premium fabrication and is fully lined.",1585186159,OK
Nala Blazer | Navy,169.95,,1558584845,OK
Wynter Blazer | Black,169.95,"Stay chic and warm in the Wynter Blazer perfect for your winter wardrobe. Made from a tweed fabric featuring silver buttons, this blazer is the epitome of class.",1558585084,OK
Wynter Blazer | White,169.95,"Stay chic and warm in the Wynter Blazer perfect for your winter wardrobe. Made from a tweed fabric featuring silver buttons, this blazer is the epitome of class.",1558585384,OK
Hana Knit | Grey,64.95,INTRODUCING THE EXHIBIT AW RANGE,1558581955,OK
Hana Knit | Beige,64.95,INTRODUCING THE EXHIBIT AW RANGE,1558581743,OK
Hana Knit | Khaki,64.95,INTRODUCING THE EXHIBIT AW RANGE,1558582056,OK
Hana Knit | Black,64.95,,1558581857,OK
Kendra Culottes | Khaki,94.95,,1585193652,OK
Kendra Culottes | Rust,94.95,"High waisted culottes featuring a side zip, wide leg and soft weighted fabric. Team with the Kendra Blazer for the perfect look.",1585193970,OK
Kendra Blazer | Khaki,159.95,INTRODUCING THE EXHIBIT AW RANGE,1558579540,OK
Kendra Blazer | Rust,159.95,"For the woman that's equal parts business and fashion forward! The new Kendra Blazer is giving us all the girl boss vibes! Featuring a structured shape, gold button detailing and a super soft fabrication.",1558506859,OK
Toni Cami | Apricot,44.95,,1585266196,OK
Ava Tank Top | Steel,49.95,The perfect staple has arrived. The Ava Tank features an unbelievably lightweight fabric with a v-neckline and thick straps for the perfect layering piece.,1550025257,OK
Ava Tank Top | Blush,49.95,The perfect staple has arrived. The Ava Tank features an unbelievably lightweight fabric with a v-neckline and thick straps for the perfect layering piece.,1550025076,OK
Toni Cami | Black,44.95,,1550027888,OK
Brandi Denim Shorts | Denim,69.95,The perfect denim shorts have arrived. Featuring distressed patches along the thigh and a slight drop crotch- these high waisted shorts are the perfect fit!,1550023224,OK
Ava Tank Top | Black,49.95,The perfect staple has arrived. The Ava Tank features an unbelievably lightweight fabric with a v-neckline and thick straps for the perfect layering piece.,1550024724,OK
Ava Tank Top | White,49.95,The perfect staple has arrived. The Ava Tank features an unbelievably lightweight fabric with a v-neckline and thick straps for the perfect layering piece.,1550028428,OK
Jaymee Denim Skirt | White,74.95,Looking for the perfect Denim Skirt? The Jaymee Skirt is finally here! Featuring distressed patches and un-even hemline.,1585192750,OK
Jaymee Denim Skirt | Black,74.95,Looking for the perfect Denim Skirt? The Jaymee Skirt is finally here! Featuring distressed patches and un-even hemline.,1585192531,OK
Jaymee Denim Skirt | Denim,74.95,Looking for the perfect Denim Skirt? The Jaymee Skirt is finally here! Featuring distressed patches and un-even hemline.,1535937366,OK
